id,water_level,co2_ppm,soil_moisture,air_temp,air_humidity,door_status,growth_stage,light_status,time_created
106,"NOT EMPTY",1750.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
107,"NOT EMPTY",1467.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
108,"NOT EMPTY",1290.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
109,"NOT EMPTY",1130.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
110,"NOT EMPTY",1400.00,MOIST,21.10,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
111,"NOT EMPTY",1744.00,MOIST,21.20,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
112,"NOT EMPTY",1748.00,MOIST,21.20,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
113,"NOT EMPTY",1595.00,MOIST,21.20,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
114,"NOT EMPTY",1370.00,MOIST,21.20,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
115,"NOT EMPTY",1201.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
116,"NOT EMPTY",1080.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
117,"NOT EMPTY",942.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
118,"NOT EMPTY",877.00,MOIST,21.20,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
119,"NOT EMPTY",845.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
120,"NOT EMPTY",803.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
121,"NOT EMPTY",761.00,MOIST,21.30,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
122,"NOT EMPTY",739.00,MOIST,21.20,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
123,"NOT EMPTY",1213.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
124,"NOT EMPTY",1606.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
125,"NOT EMPTY",1560.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
126,"NOT EMPTY",1350.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
127,"NOT EMPTY",1197.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
128,"NOT EMPTY",1444.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
129,"NOT EMPTY",1754.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
130,"NOT EMPTY",1760.00,MOIST,21.30,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
131,"NOT EMPTY",1581.00,MOIST,21.40,0.00,CLOSED,Vegetative,ON,"2018-07-27 12:22:20.795478"
132,"NOT EMPTY",1411.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
133,"NOT EMPTY",1234.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
134,"NOT EMPTY",1098.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
135,"NOT EMPTY",986.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
136,"NOT EMPTY",887.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
137,"NOT EMPTY",844.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
138,"NOT EMPTY",797.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
139,"NOT EMPTY",774.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
140,"NOT EMPTY",746.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
141,"NOT EMPTY",721.00,MOIST,21.40,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
142,"NOT EMPTY",692.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
143,"NOT EMPTY",965.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
144,"NOT EMPTY",1461.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
145,"NOT EMPTY",1904.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
146,"NOT EMPTY",2119.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
147,"NOT EMPTY",1979.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
148,"NOT EMPTY",1693.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
149,"NOT EMPTY",1429.00,MOIST,21.40,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
150,"NOT EMPTY",1284.00,MOIST,21.50,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
151,"NOT EMPTY",1144.00,MOIST,21.50,0.00,CLOSED,Fruition,ON,"2018-07-27 12:22:20.795478"
152,"NOT EMPTY",1399.00,MOIST,21.50,0.00,CLOSED,Night,OFF,"2018-07-27 12:22:20.795478"
